1月1日,-3分9秒
9月19日,+6分57秒
9月20日,+7分18秒
9月21日,+7分39秒
9月22日,+8分0秒
9月23日,+8分21秒
9月24日,+8分42秒
9月25日,+9分2秒
9月26日,+9分22秒
9月27日,+9分42秒
9月28日,+10分2秒
9月29日,+10分21秒
9月30日,+10分40秒
10月1日,+10分59秒
10月2日,+11分18秒
10月3日,+11分36秒
10月4日,+11分36秒
10月5日,+11分53秒
10月6日,+12分11秒
10月7日,+12分28秒
10月8日,+12分44秒
10月9日,+12分60秒
10月10日,+13分16秒
10月11日,+13分16秒
10月12日,+13分31秒
10月13日,+13分45秒
10月14日,+13分59秒
10月15日,+14分13秒
10月16日,+14分26秒
10月17日,+14分38秒
10月18日,+14分50秒
10月19日,+15分1秒
10月20日,+15分12秒
10月21日,+11分21秒
10月22日,+15分31秒
10月23日,+15分40秒
10月24日,+15分48秒
10月25日,+15分55秒
10月26日,+16分1秒
10月27日,+16分7秒
10月28日,+16分12秒
10月29日,+16分16秒
10月30日,+16分20秒
10月31日,+16分22秒
11月1日,+16分24秒
11月2日,+16分25秒
11月3日,+16分25秒
11月4日,+16分24秒
11月5日,+16分23秒
11月6日,+16分21秒
11月7日,+16分17秒
11月8日,+16分13秒
11月9日,+16分9秒
11月10日,+16分3秒
11月11日,+15分56秒
11月12日,+15分49秒
11月13日,+15分41秒
11月14日,+15分32秒
11月15日,+15分22秒
11月16日,+15分11秒
11月17日,+14分60秒
11月18日,+14分47秒
11月19日,+14分34秒
11月20日,+14分20秒
11月21日,+14分6秒
11月22日,+13分50秒
11月23日,+13分34秒
11月24日,+13分17秒
11月25日,+12分59秒
11月26日,+12分40秒
11月27日,+12分21秒
11月28日,+12分1秒
11月29日,+11分40秒
11月30日,+11分18秒
12月1日,+10分56秒
12月2日,+10分33秒
12月3日,+10分9秒
12月4日,+9分45秒
12月5日,+9分21秒
12月6日,+8分55秒
12月7日,+8分29秒
12月8日,+8分3秒
12月9日,+7分36秒
12月10日,+7分9秒
12月11日,+6分42秒
12月12日,+6分14秒
12月13日,+5分46秒
12月14日,+5分17秒
12月15日,+4分48秒
12月16日,+4分19秒
12月17日,+3分50秒
12月18日,+3分21秒
12月19日,+2分51秒
12月20日,+2分22秒
12月21日,+1分52秒
12月22日,+1分22秒
12月23日,+0分52秒
12月24日,+0分23秒
12月25日,+0分7秒
12月26日,+0分37秒
12月27日,-1分6秒
12月28日,-1分36秒
12月29日,-2分5秒
12月30日,-2分34秒
12月31日,-3分3秒
